day,tx_count,total_output_satoshis,total_fee_satoshis,avg_fee_satoshis
2009-01-03,1,5000000000,0,0
2009-01-09,14,70000000000,0,0
2009-01-10,61,305000000000,0,0
2009-01-11,93,465000000000,0,0
2009-01-12,101,487900000000,0,0
2009-01-13,123,615000000000,0,0
2009-01-14,130,651100000000,0,0
2009-01-15,134,680000000000,0,0
2009-01-16,110,560000000000,0,0
2009-01-17,109,545000000000,0,0
2009-01-18,108,550000000000,0,0
2009-01-19,117,652500000000,0,0
2009-01-20,115,610000000000,0,0
2009-01-21,103,520000000000,0,0
2009-01-22,92,505000000000,0,0
2009-01-23,86,465000000000,0,0
2009-01-24,202,1055000000000,0,0
2009-01-25,192,960000000000,0,0
2009-01-26,97,580000000000,0,0
2009-01-27,98,500000000000,0,0
2009-01-28,112,560000000000,0,0
2009-01-29,122,665000000000,0,0
2009-01-30,117,585000000000,0,0
2009-01-31,139,790000000000,0,0
2009-02-01,114,575000000000,0,0
2009-02-02,129,645000000000,0,0
2009-02-03,155,768652000000,201000000,1296774.193548387
2009-02-04,119,595000000000,0,0
2009-02-05,126,630000000000,0,0
2009-02-06,122,610000000000,0,0
2009-02-07,133,764800000000,0,0
2009-02-08,133,760000000000,0,0
2009-02-09,135,890000000000,0,0
2009-02-10,120,600000000000,0,0
2009-02-11,135,720004000000,0,0
2009-02-12,119,595000000000,0,0
2009-02-13,124,620000000000,0,0
2009-02-14,136,680000000000,0,0
2009-02-15,131,730000000000,0,0
2009-02-16,123,760000000000,0,0
2009-02-17,117,585000000000,0,0
2009-02-18,118,590000000000,0,0
2009-02-19,125,700000000000,0,0
2009-02-20,122,610000000000,0,0
2009-02-21,114,570000000000,0,0
2009-02-22,125,710000000000,0,0
2009-02-23,108,540000000000,0,0
2009-02-24,106,530000000000,0,0
2009-02-25,105,525000000000,0,0
2009-02-26,107,535000000000,0,0
2009-02-27,116,755000000000,0,0
2009-02-28,100,530000000000,0,0
2009-03-01,105,525000000000,0,0
2009-03-02,108,540000000000,0,0
2009-03-03,107,565000000000,0,0
2009-03-04,106,645000000000,0,0
2009-03-05,113,600000000000,0,0
2009-03-06,117,585000000000,0,0
2009-03-07,109,545000000000,0,0
2009-03-08,118,730000000000,0,0
2009-03-09,108,540000000000,0,0
2009-03-10,107,535000000000,0,0
2009-03-11,114,570000000000,0,0
2009-03-12,119,605000000000,0,0
2009-03-13,114,640000000000,0,0
2009-03-14,110,550000000000,0,0
2009-03-15,123,615000000000,0,0
2009-03-16,122,845000000000,0,0
2009-03-17,114,570000000000,0,0
2009-03-18,116,640000000000,0,0
2009-03-19,122,610000000000,0,0
2009-03-20,119,650000000000,0,0
2009-03-21,50,250000000000,0,0
2009-03-22,121,650000000000,0,0
2009-03-23,130,650000000000,0,0
2009-03-24,105,525000000000,0,0
2009-03-25,117,585000000000,0,0
2009-03-26,118,725000000000,0,0
2009-03-27,106,530000000000,0,0
2009-03-28,122,695000000000,0,0
2009-03-29,116,580000000000,0,0
2009-03-30,120,600000000000,0,0
2009-03-31,111,710000000000,0,0
2009-04-01,114,570000000000,0,0
2009-04-02,115,575000000000,0,0
2009-04-03,116,580000000000,0,0
2009-04-04,113,565000000000,0,0
2009-04-05,132,735000000000,0,0
2009-04-06,109,545000000000,0,0
2009-04-07,100,500000000000,0,0
2009-04-08,105,525000000000,0,0
2009-04-09,99,495000000000,0,0
2009-04-10,108,540000000000,0,0
2009-04-11,121,635000000000,0,0
2009-04-12,120,685000000000,0,0
2009-04-13,116,580000000000,0,0
2009-04-14,124,620000000000,0,0
2009-04-15,113,565000000000,0,0
2009-04-16,123,615000000000,0,0
2009-04-17,112,560000000000,0,0
2009-04-18,130,648251000000,0,0
2009-04-19,120,635000000000,0,0
2009-04-20,121,1170000000000,0,0
2009-04-21,124,620000000000,0,0
2009-04-22,121,605000000000,0,0
2009-04-23,75,375000000000,0,0
2009-04-24,115,575000000000,0,0
2009-04-25,118,590000000000,0,0
2009-04-26,114,635000000000,0,0
2009-04-27,104,520000000000,0,0
2009-04-28,117,585000000000,0,0
2009-04-29,129,740000000000,0,0
2009-04-30,131,655000000000,0,0
2009-05-01,121,605000000000,0,0
2009-05-02,128,704994000000,3000000,23437.5
2009-05-03,109,541000000000,0,0
2009-05-04,129,790000000000,0,0
2009-05-05,136,725000000000,0,0
2009-05-06,135,675000000000,0,0
2009-05-07,122,610000000000,0,0
2009-05-08,107,535000000000,0,0
2009-05-09,78,390000000000,0,0
2009-05-10,85,425000000000,0,0
2009-05-11,121,610000000000,10000000,82644.628099174
2009-05-12,130,650000000000,0,0
2009-05-13,116,570001000000,0,0
2009-05-14,142,714999000000,0,0
2009-05-15,137,730000000000,0,0
2009-05-16,119,595000000000,0,0
2009-05-17,127,635000000000,0,0
2009-05-18,118,590000000000,0,0
2009-05-19,86,430000000000,0,0
2009-05-20,120,600000000000,0,0
2009-05-21,82,410000000000,0,0
2009-05-22,61,305000000000,0,0
2009-05-23,32,160000000000,0,0
2009-05-24,100,500000000000,0,0
2009-05-25,109,545000000000,0,0
2009-05-26,125,625000000000,0,0
2009-05-27,119,595000000000,0,0
2009-05-28,95,475000000000,0,0
2009-05-29,107,830000000000,0,0
2009-05-30,109,545000000000,0,0
2009-05-31,96,480000000000,0,0
2009-06-01,72,360000000000,0,0
2009-06-02,111,555000000000,0,0
2009-06-03,71,355000000000,0,0
2009-06-04,66,330000000000,0,0
2009-06-05,30,150000000000,0,0
2009-06-06,28,140000000000,0,0
2009-06-07,16,80000000000,0,0
2009-06-08,82,410000000000,0,0
2009-06-09,91,455000000000,0,0
2009-06-10,82,410000000000,0,0
2009-06-11,89,445000000000,0,0
2009-06-12,86,430000000000,0,0
2009-06-13,78,390000000000,0,0
2009-06-14,72,360000000000,0,0
2009-06-15,84,420000000000,0,0
2009-06-16,71,355000000000,0,0
2009-06-17,79,395000000000,0,0
2009-06-18,80,400000000000,0,0
2009-06-19,87,435000000000,0,0
2009-06-20,78,390000000000,0,0
2009-06-21,81,405000000000,0,0
2009-06-22,77,680000000000,0,0
2009-06-23,76,380000000000,0,0
2009-06-24,97,489898000000,0,0
2009-06-25,69,440000000000,0,0
2009-06-26,90,450000000000,0,0
2009-06-27,84,420000000000,0,0
2009-06-28,47,235000000000,0,0
2009-06-29,84,420000000000,0,0
2009-06-30,86,434500000000,0,0
2009-07-01,75,380000000000,0,0
2009-07-02,84,420000000000,0,0
2009-07-03,82,410000000000,0,0
2009-07-04,89,445000000000,0,0
2009-07-05,79,395000000000,0,0
2009-07-06,84,420000000000,0,0
2009-07-07,69,345000000000,0,0
2009-07-08,74,370000000000,0,0
2009-07-09,86,430000000000,0,0
2009-07-10,81,405000000000,0,0
2009-07-11,83,415000000000,0,0
2009-07-12,77,385000000000,0,0
2009-07-13,78,390000000000,0,0
2009-07-14,69,345000000000,0,0
2009-07-15,45,225000000000,0,0
2009-07-16,71,355000000000,0,0
2009-07-17,47,235000000000,0,0
2009-07-18,4,20000000000,0,0
2009-07-19,70,350000000000,0,0
2009-07-20,71,954967000000,14000000,197183.098591549
2009-07-21,82,410000000000,0,0
2009-07-22,60,300000000000,0,0
2009-07-23,76,380000000000,0,0
2009-07-24,73,365000000000,0,0
2009-07-25,32,160000000000,0,0
2009-07-26,21,105000000000,0,0
2009-07-27,74,370000000000,0,0
2009-07-28,41,205000000000,0,0
2009-07-29,20,105000000000,0,0
2009-07-30,16,80000000000,0,0
2009-07-31,17,85000000000,0,0
2009-08-01,28,140000000000,0,0
2009-08-02,23,115000000000,0,0
